Angle1,Angle2,Angle3,Angle4,Angle5,Angle6,Angle7,Angle8
106.22210389530572,-189.36005017539367,-214.76412399072612,-114.38539056404895,63.81776982498012,-189.18104314257585,-205.50674253288284,-108.22151720478124
91.65206863056153,-188.23609784779893,-215.2397152620462,-117.1675984940931,72.3352608476549,-190.28383892351613,-205.53498281917908,-110.38195364917568
89.01028186329893,-187.79602127377623,-214.52912293118058,-117.71153695451746,70.9855045940199,-190.2349143560726,-205.15415835183924,-110.47391235813949
83.40528763243869,-187.28886761253864,-214.20163998506027,-116.22360457916929,72.55939970939293,-190.15616845077798,-204.9831881147872,-110.47039306539375
70.87230802241774,-186.42662729237813,-213.08384527855893,-114.16058609257674,67.53893920206093,-189.42011941811256,-204.59194021373347,-110.05574579004761
70.88133874816961,-186.27486449132965,-213.99185698756062,-114.27533276278292,67.48441002492581,-189.07862342955352,-204.09519578345916,-108.1117864355768
76.01419650279006,-186.36135475252433,-214.45041289133943,-117.36624574033297,63.58635220946294,-188.4839411995565,-203.5907108378969,-107.8587270523074
77.94461935508754,-186.19988746349668,-216.20049832897297,-123.89216372394061,65.84442519554078,-188.45737921090213,-203.50522097325904,-107.67036383053261
76.61783886475233,-186.0751577676605,-216.34675891990378,-121.97733700872078,66.81748836481688,-188.49051253053267,-203.63154501793426,-107.47931897093747
71.96805556167588,-185.48837302228014,-215.94167796987355,-121.45255231588762,72.36997129139976,-189.14243811526097,-203.04939295207498,-107.03139506080213
75.32928537743123,-185.71335450187723,-214.59263314519623,-117.84016221710154,77.76954620824885,-190.09666546480435,-202.72844984032682,-108.38985718631366
80.5980661947898,-186.78278764682696,-214.38769949181184,-115.46657637816784,78.04916717066975,-190.40519247906633,-202.72546344193225,-107.3558398494158
79.57308920634686,-187.03162606699073,-214.33184455080962,-115.06915718660017,79.32922670113072,-191.76737594342626,-202.59153060280158,-107.76266036285364
75.92171169802825,-187.0241645893308,-214.60208691432757,-115.80375674732441,85.4907217556552,-192.9772524718898,-203.08470439376595,-109.92104953679042
76.32575748778157,-186.3434916108878,-214.43699238480724,-123.36728590140305,78.87326752944989,-193.80263402361825,-201.83804638571536,-115.26327535159042
77.24600084389832,-187.07117522233457,-215.373539005956,-121.07566906726662,81.79625740716871,-193.75842854489446,-203.12096480028393,-113.02590768770808
75.53357478352322,-187.25333150699672,-217.78193628661978,-119.44506474227195,77.15957868396713,-193.03508472948627,-204.4222726054164,-110.89252739294837
80.21736284403654,-187.0200927851052,-216.5543997645355,-120.3848665585355,-269.9752118241827,-196.2994053165101,-203.96341619524807,-111.95891446760615
78.1772700477625,-186.23855881637934,-218.16499710547467,-121.61423220495361,73.2885237236566,-193.86673093722365,-204.69322008152758,-112.85984261646756
70.43929075960762,-184.43222525054253,-216.2851381406222,-122.6145148273758,56.001496700628046,-190.8028155243924,-203.19077610898256,-114.34813194011961
67.3128821948293,-184.30882369455134,-216.00225881543724,-121.32761993866998,48.26329724039542,-188.52705045426467,-203.06665108226053,-113.49925368073484
68.94819141894862,-184.87386980017104,-218.97548789336997,-126.14224422674728,51.1439729503035,-189.12271569843696,-203.11837441604894,-112.66963971473768
67.30023966957492,-185.35303939151774,-218.89074787317296,-118.88231233705574,60.55715352473571,-191.09012945824108,-203.81457737469927,-106.47957303324877
67.19845098324271,-185.8906272523133,-218.41891562502568,-116.79350097054895,61.17810535135151,-190.85067160906885,-204.50210027979622,-106.34981586025684
72.1786270969511,-186.03897341928467,-220.2614260619545,-118.89962340324215,58.316807067052295,-189.14941579804463,-205.27156144643084,-107.91165151893429
130.88201718534063,-188.82688613555936,-223.1418309296309,-121.64843167440628,79.14046190552898,-191.84260384798097,-205.42578109629727,-105.73792144023159
85.40512343415976,-186.33623661819252,-227.07634727903525,-122.15383130161395,70.58563907016222,-189.98638405635046,-206.1514434636954,-104.64351560735662
185.5033130312167,-188.7990153860191,-230.9399949728711,-125.78804932359998,68.07792219891218,-187.58890631442534,-208.3571417145556,-105.32850782591146
249.3988887754177,-189.21724806558635,-240.96383209443857,-138.60620304660017,-225.22389293007387,-189.45837337441145,-209.78333978336107,-104.64504490565112
-57.101728709993246,-193.8305810054926,-243.8800515974291,-144.5335221156681,-249.53752013120237,-199.15004772131581,-210.85012815924128,-106.54911690466876
-42.407961590757374,-196.88843243356945,-241.7702036044622,-143.81951809089472,84.94775615595962,-205.20484628500654,-212.28181556611534,-107.32886426324575
-36.12230865494429,-198.78455354164757,-239.21710660936577,-144.39939631821048,51.76581528921812,-220.18070240462848,-214.0308581462987,-113.41425613157314
-37.51701841214588,-198.1101065329819,-238.2654033932244,-143.55154297613495,61.05550569218999,-214.93295529387584,-213.9604535396797,-114.58877213150943
-32.183441495231904,-198.47414676767255,-237.72949100080993,-143.53181578407595,52.678508798381394,-214.06156669634242,-214.65122617319264,-117.7219938360175
-28.765185174779646,-198.74178308586767,-238.187278706895,-141.8306345557749,65.99116556664615,-206.12895411820293,-214.90963885623725,-116.98425405287502
-24.32757827927193,-198.29217303361526,-234.44744579200943,-140.99326423080845,80.5542383537945,-203.62582030110644,-215.61191873839593,-122.12713280157527
-23.79081782599676,-197.1430372884972,-235.0957921571864,-139.20714394408614,73.55659484344766,-199.83052591850245,-215.29870427565706,-121.2816997010504
-23.678195661128484,-197.4067817537315,-235.33915104408518,-139.2834285184046,76.60110661389227,-200.09382729850876,-215.189122534979,-122.89073169464574
-20.11518976085386,-198.8955521707326,-233.3497480438355,-139.1199012810763,71.9263507818151,-199.5619263608588,-214.3886227565667,-123.78503257066052
-20.56190089911879,-197.74028055041356,-233.17193222301557,-136.7812260441358,73.49198192377149,-200.08328915618924,-214.8086123632269,-118.60156864173533
-20.792944387691797,-196.56294531724402,-231.51292798390628,-133.19616030636962,66.66237424713744,-197.60957238760824,-215.19017455661066,-116.54097253527219
-23.102114831486713,-195.6060931034887,-231.61399750183443,-131.85536503874394,76.94403380776278,-194.32575390369166,-215.8267232775181,-115.04878265455979
-25.871103869183273,-194.792475288341,-231.01317343584972,-132.02359876872472,57.861010318674495,-195.54627360524984,-216.57286152479918,-114.51293953040135
-25.680445284896592,-196.22594418802467,-229.5592481782427,-132.19033638325334,47.97790687732887,-200.85201806246783,-216.42152792561782,-119.31446117469119
-25.861098442920508,-196.33893277977248,-229.28414367313098,-132.55849594805414,59.77430832937231,-199.48076114188746,-215.41373068893571,-120.26667842479172
-26.28445936803547,-196.43173895732053,-229.52905280989995,-131.8036926636069,73.69320160480837,-194.51084848417992,-215.44816230692797,-120.35650303793372
-27.748284049364017,-195.7191248433492,-231.03692327044072,-132.03989870219556,-264.4884741386491,-191.11454908561885,-215.51380981662533,-115.33670382357832
-28.848653150234473,-196.10847407927167,-232.28518234359888,-133.0559270751931,81.44423488922172,-193.00560246578144,-215.97683105563863,-113.65737831845249
-36.84505813559685,-193.90233738947163,-233.29392436680888,-132.2148714176038,-223.82235021931308,-189.4116747159727,-214.87168469483183,-111.7865881773431
